Tabular Random Search,BBO,TRS Error Bar,BBO Error Bar
-0.662643,-0.523956,0.0794611,0.0806186
-0.608847,-0.57167,0.0682562,0.0840605
-0.715007,-0.511865,0.0833825,0.0823817
-0.446348,-0.474606,0.0577442,0.0925947
-0.737271,-0.775027,0.0918233,0.1134
-0.701905,-0.56942,0.0839071,0.0941852
-0.631097,-0.388311,0.0739087,0.0632862
-0.644191,-0.426862,0.0779507,0.0718044
-0.564804,-0.554402,0.0741291,0.0771314
-0.582987,-0.557338,0.0698332,0.0954572
-0.326097,-0.581288,0.0633583,0.0947738
-0.458972,-0.354477,0.0931153,0.0553132
-0.344697,-0.693089,0.0849457,0.112744
-0.336522,-0.627515,0.0593214,0.101079
-0.331196,-0.486758,0.0756171,0.0770884
-0.412327,-0.582142,0.0912074,0.0908998
-0.384523,-0.644176,0.0720451,0.107846
-0.434052,-0.407966,0.0930199,0.068585
-0.517041,-0.536608,0.101377,0.0816692
-0.305077,-0.461418,0.0694098,0.0836751
-0.37793,-0.121249,0.0726322,0.054565
-0.344567,-0.172369,0.0712838,0.0627481
-0.475972,-0.139965,0.0913358,0.0612725
-0.309211,-0.170563,0.0745319,0.0535889
-0.273935,-0.153277,0.0555708,0.0516454
-0.407273,-0.240627,0.0788593,0.0681238
-0.454172,-0.182528,0.0966301,0.051393
-0.452127,-0.121272,0.0851817,0.0374059
-0.254356,-0.144496,0.053428,0.060547
-0.331629,-0.299779,0.0685216,0.0721116
-0.423783,-0.111549,0.0922163,0.0471188
-0.313996,-0.177202,0.0806573,0.0576694
-0.354508,-0.131318,0.0827536,0.0435855
-0.357477,-0.132213,0.0719657,0.0394878
-0.537719,-0.168446,0.0991491,0.0514026
-0.42912,-0.179283,0.093924,0.0464743
-0.455623,-0.166982,0.0853643,0.0543322
-0.56074,-0.18393,0.112549,0.0666117
-0.557036,-0.158035,0.0959176,0.0432844
-0.41893,-0.123129,0.0837205,0.0563115
-0.351554,-0.0444964,0.0739108,0.0516017
-0.230941,-0.0468076,0.0581758,0.0387311
-0.39622,-0.0889,0.0914946,0.0523378
-0.342852,-0.0323652,0.0823598,0.0484856
-0.41612,-0.049377,0.089586,0.0374548
-0.369325,-0.076735,0.0777507,0.0456052
-0.497768,-0.114448,0.103598,0.0511501
-0.440527,-0.125253,0.0821699,0.055553
-0.468362,-0.132712,0.0915478,0.0619779
-0.31198,-0.0374227,0.0776034,0.0406718
-0.25973,-0.123549,0.0794707,0.0604642
-0.416162,-0.0518178,0.101872,0.0355154
-0.285535,-0.106259,0.0745017,0.056798
-0.340777,-0.0261071,0.0779993,0.0380035
-0.374768,-0.102345,0.0899108,0.0358396
-0.42858,-0.125812,0.0974442,0.0398348
-0.397076,-0.0712739,0.106538,0.0477665
-0.234932,-0.111648,0.0570472,0.0513441
-0.469452,-0.056139,0.100655,0.0393444
-0.33579,-0.0978449,0.0784609,0.054963
-0.40703,0.00801615,0.0823015,0.0355229
-0.350993,-0.0283359,0.0784896,0.0498779
-0.408791,0.0190684,0.0831776,0.0396408
-0.390487,0.0154573,0.0884157,0.0344551
-0.377694,0.0101681,0.0716049,0.0323436
-0.417234,0.0752413,0.094812,0.028237
-0.540707,-0.00933096,0.0984672,0.0580119
-0.357797,-0.042609,0.0775513,0.047693
-0.35558,-0.018034,0.0866215,0.0414128
-0.34577,-0.119868,0.0649249,0.068712
-0.347664,-0.0468357,0.076122,0.05106
-0.450722,0.00586302,0.0999174,0.0487933
-0.551447,0.00237241,0.111118,0.0403723
-0.468658,-0.0465003,0.0915339,0.0567725
-0.428273,-0.0659251,0.0962469,0.0438796
-0.38863,-0.0555221,0.0824073,0.0365439
-0.513024,-0.00707757,0.106396,0.0389215
-0.585986,-0.00847005,0.123241,0.0510124
-0.536175,-0.0773351,0.105188,0.0627096
-0.368908,0.00364856,0.084635,0.0617937
-0.31057,0.0202208,0.0684258,0.0597621
-0.326077,0.0198645,0.0729371,0.0440123
-0.307905,-0.0330317,0.0770366,0.053567
-0.354661,0.0914491,0.0851533,0.032361
-0.285319,0.0518643,0.057498,0.0366656
-0.27514,0.0299075,0.0645233,0.0379754
-0.343076,-0.053302,0.0700363,0.0574273
-0.311468,0.0403917,0.0823445,0.0314475
-0.276849,-0.0279525,0.0630331,0.0489836
-0.385974,-0.00810697,0.0935478,0.0405415
-0.424503,0.0496084,0.0848519,0.0336556
-0.376565,0.0584145,0.0740585,0.0363134
-0.351261,-0.00255172,0.076737,0.0394878
-0.254075,-0.000116783,0.0586523,0.0389322
-0.511085,0.0716473,0.101618,0.0305377
-0.432018,0.0192125,0.0909323,0.0372323
