Sarsa,QLearning,Sarsa Error Bar,QLearning Error Bar
9.33333,9.33333,0.129839,0.129839
9.4,9.3,0.140606,0.108808
9.26667,9.43333,0.126249,0.156714
9.43333,9.1,0.1492,0.0557086
9.66667,9.76667,0.231603,0.265587
9.7,9.5,0.230691,0.223607
12.4,10,2.83151,0.358797
12.6333,13.0667,2.84927,2.9711
21.7667,12.5333,5.76687,3.05457
28.4333,23.1667,7.20036,6.12252
21.3667,23.8,5.80932,6.37062
16.5667,83.8,4.3464,46.271
9.46667,150.767,0.184037,62.8502
19.1667,126.167,5.11839,55.1665
49.3,185.967,33.4336,68.7218
35.9,149.633,8.19256,62.8836
87.1,221.667,46.1951,73.5371
64.2667,257.7,33.5947,77.4284
69.7333,247.533,33.4918,78.296
108.9,250.167,45.6921,78.0734
203.933,187.7,68.7167,68.6104
169.633,251.867,63.135,77.9412
224.333,359.767,74.4565,85.8225
176.633,438.267,69.2907,87.895
143.133,481.433,63.2119,92.0751
113.233,510.6,55.6728,92.9221
183.7,481.2,68.8809,92.113
183.633,513.767,68.8836,92.3923
214.833,581,74.0728,91.367
113.567,477.733,55.6524,92.6302
213.567,377.233,74.1289,89.5469
151.333,510.833,62.8505,92.8791
255.5,610.633,77.683,91.0552
284.667,510.833,81.5033,92.8789
351.533,511,86.759,92.8479
391.667,710.867,88.6647,85.1344
281.1,677.467,81.8296,87.5902
414,744.133,90.5924,82.1792
447.267,877.533,91.6115,63.1874
421.6,810.9,89.5695,74.3153
421.6,844.333,89.5665,69.2047
503.267,847.733,91.0216,67.8704
543.933,914.633,92.7207,53.7693
510.6,848.833,92.922,67.4604
543.933,877.633,92.7206,63.1401
477.433,877.667,92.6819,63.1243
543.933,944.3,92.7206,46.3438
580.833,911.133,91.4087,55.6345
544.533,877.667,92.602,63.1243
644.467,944.4,89.4536,46.2743
511.067,911.033,92.8358,55.6901
644.2,944.367,89.5182,46.2975
611.167,944.4,90.9344,46.2743
677.5,910.967,87.5816,55.7272
677.733,944.367,87.5204,46.2975
744.4,944.5,82.0973,46.2048
844.367,977.667,69.1908,33.3333
777.567,911.167,78.5741,55.6158
777.467,911,78.6077,55.7087
810.967,911.067,74.2908,55.6716
848.033,944.467,67.7596,46.2281
815,944.467,72.899,46.2281
811.033,944.5,74.266,46.2049
810.8,1011,74.3524,0
877.5,1011,63.2032,0
877.5,1011,63.2032,0
877.633,1011,63.1402,0
877.567,944.267,63.1717,46.3669
844.3,944.4,69.2185,46.2743
877.5,944.267,63.2032,46.3669
910.867,910.967,55.7829,55.7272
910.867,944.2,55.7829,46.4132
