Sarsa,QLearning,Sarsa Error Bar,QLearning Error Bar
-0.28586,-0.2883,0.0515369,0.0542647
-0.431032,-0.336193,0.0606495,0.0488735
-0.487426,-0.5017,0.0693537,0.0633475
-0.416502,-0.446314,0.0619144,0.0621604
-0.210272,-0.164596,0.0515221,0.045146
-0.0714152,-0.0598495,0.0426746,0.0433412
0.0366053,0.121736,0.0399076,0.0306021
0.0471545,0.0953407,0.0317033,0.0386319
0.114325,0.138554,0.0325246,0.0364163
0.206089,0.208404,0.0290324,0.0366408
0.277348,0.221609,0.0319855,0.0344267
0.350513,0.305769,0.0280066,0.0280723
0.300485,0.302486,0.0334575,0.0372192
0.404956,0.398959,0.0297013,0.0347751
0.372485,0.441098,0.030625,0.0290401
0.457052,0.49796,0.0291336,0.0347031
0.498775,0.516175,0.0313208,0.0315539
0.558569,0.5829,0.0339221,0.0338214
0.573702,0.677434,0.0374896,0.0342073
0.604138,0.646673,0.0408207,0.0337095
0.662612,0.718298,0.0408587,0.0395004
0.791987,0.777377,0.0383719,0.0376634
0.811113,0.768687,0.0392884,0.0407677
0.892114,0.863023,0.0395121,0.0387571
0.914497,0.963049,0.0396282,0.0404452
0.97577,1.00993,0.0402433,0.0417442
1.02621,1.02025,0.0452054,0.04009
1.0872,1.13694,0.0436458,0.0468118
1.1896,1.19865,0.0454812,0.0476335
1.21451,1.25683,0.0469283,0.0444312
1.25108,1.30955,0.0488159,0.0458637
1.38894,1.38697,0.0506565,0.0456229
1.41709,1.47101,0.0463343,0.0453149
1.47559,1.57004,0.0470857,0.0478592
1.55974,1.64772,0.0482415,0.0487104
1.64979,1.70258,0.0513477,0.0480526
1.69605,1.717,0.0488325,0.0527816
1.78225,1.83824,0.0512336,0.0493701
1.83119,1.93485,0.0515667,0.0491067
1.91794,2.00028,0.0511131,0.0496376
1.96538,2.13464,0.0518298,0.0503699
1.9886,2.13245,0.0530456,0.0493938
2.05954,2.11045,0.0528612,0.0528093
2.14704,2.2915,0.0560169,0.0497448
2.26592,2.28427,0.0531037,0.0504514
2.27106,2.43613,0.0524273,0.0522739
2.26474,2.4651,0.0566145,0.0502359
2.36706,2.43932,0.0580039,0.0498287
2.43573,2.51261,0.0516011,0.0554524
2.4664,2.57293,0.0524171,0.0491654
2.55564,2.63871,0.052652,0.0498038
2.5416,2.67188,0.0519458,0.0519145
2.65641,2.69248,0.0521619,0.0622485
2.69303,2.82112,0.0528241,0.0478949
2.70035,2.87567,0.0517799,0.0483058
2.77572,2.90848,0.0526297,0.0494644
2.77291,2.87249,0.0526438,0.0499448
2.76179,2.92524,0.0519746,0.0509969
