Sarsa,QLearning,Sarsa Error Bar,QLearning Error Bar
-18317.1,-18246.5,866.589,887.448
-9363.03,-9423.9,975.149,992.509
-3395.47,-3520.3,304.512,400.169
-2602.8,-2234.63,276.002,215.902
-2268.07,-1983.73,223.421,208.276
-2167.73,-1648.07,212.52,139.34
-1627.93,-1791.23,141.842,158.867
-1829.83,-1331.6,175.231,167.218
-1528.67,-1110.17,129.976,64.8634
-1559.83,-1168,212.82,78.6029
-1271.03,-946.533,124.651,71.2367
-1175.2,-994.367,100.259,82.7414
-1148.13,-899.133,103.99,64.7531
-1018.57,-755.6,95.3132,48.908
-1017.63,-782.3,74.4308,62.2138
-1151.1,-658.1,142.303,58.2238
-1002.7,-688.733,119.787,44.5826
-754.167,-766.9,63.537,53.0815
-767.7,-587.233,94.1661,32.8116
-713.833,-559.1,47.7223,32.3698
-709.7,-556,63.648,34.7927
-726.033,-504.233,57.2457,23.4207
-633.133,-522.933,40.5118,25.1871
-728.233,-516.333,70.7269,26.3813
-613.967,-503.167,36.4248,25.1849
-570.333,-555.9,44.758,30.3162
-550.533,-487.4,54.5998,31.1335
-541.867,-450.9,40.0638,25.5549
-551.333,-433.5,51.214,25.6761
-501.9,-393.067,49.9594,20.6845
-552.867,-414.833,54.5404,28.2341
-435.433,-421.467,18.9264,20.449
-484.433,-390.933,28.907,18.3545
-469.1,-405.8,30.5412,23.4368
-474.033,-379.4,36.2301,16.4801
-418,-376.667,27.0075,19.9926
-398.533,-342.533,23.3412,14.5731
-425.433,-336.6,23.3668,17.2945
-369.2,-333.8,16.7413,13.3731
-339.967,-330.067,21.1919,16.1156
-375.767,-335.767,25.3924,12.2528
-392.7,-294.967,29.0687,11.2396
-351,-321.433,15.1159,18.6881
-371.467,-290.867,20.0937,9.88726
-359.967,-293.567,20.2261,13.1761
-336.733,-291,13.7013,7.64996
-334.833,-300.067,15.9259,10.0001
-314.667,-291.2,15.0788,11.5819
-305.367,-302.1,17.0506,12.7231
-317.233,-283.333,17.016,8.88694
-300,-294.1,14.139,10.4112
-340.467,-300.8,18.9699,10.5501
-307.4,-274.4,15.1093,10.0925
-282.467,-268.367,11.9461,11.7673
-291.733,-255.633,14.9682,7.17795
-295.133,-264.9,14.5302,10.393
-266.1,-251.167,11.152,8.85166
-308.9,-259.4,17.2243,7.23316
-286.9,-261.933,14.7413,11.2338
