Sarsa,QLearning,Sarsa Error Bar,QLearning Error Bar
11.1,10.1667,0.683719,0.291974
21.3333,124.633,4.03301,55.2937
33.3,111.067,15.2538,55.7125
26,14.3667,6.435,3.87194
90.9333,96.4333,46.1773,47.0638
106.7,72.9,47.4242,35.6121
18.3667,125.533,3.83615,51.5593
56.9667,126.667,33.4168,55.2641
18.9333,90.3,5.04575,46.3552
20.6333,168.6,5.46998,62.6228
152.867,87.3667,57.491,46.2298
71.5333,86.7667,36.6929,46.681
113.567,85.2,55.6263,46.2365
54.9667,161.333,33.479,62.3099
18.8,214,4.65509,71.2047
49.2,105.2,33.5413,47.3658
16.7,152.633,4.70049,62.8414
81.1667,122.6,46.2061,55.3206
20.7333,159.3,4.93543,62.4678
51.6667,200.167,33.3384,68.0262
46.8333,118.133,33.4025,55.5239
53.5,283.967,33.5244,81.5339
72.8,311.067,36.9096,85.0909
76.3667,305.233,46.3854,79.9179
16.2,206.333,4.27917,67.6179
55.4333,254.9,33.64,77.7249
62.1,319.133,33.5815,84.3661
17.5333,220.167,4.90267,73.6288
76.2667,324.333,37.4152,83.7142
114.233,191.567,55.1344,68.4159
112.033,352.9,55.6902,86.5569
46.5333,222.233,33.3196,73.45
49.8,225.033,33.6229,73.3199
116.233,291.5,55.601,80.4103
114.833,322.733,55.618,83.8342
119.633,289.1,55.4894,81.0249
97.5667,322.033,47.354,83.9296
118.3,391.1,55.4508,87.7918
122.333,328.1,55.3174,83.3132
183.067,330.3,68.8939,83.081
116.567,325.3,55.5219,83.6397
85.2,328.167,46.1565,83.3205
115.567,295.667,55.5576,80.3968
167.233,356.167,63.7828,86.1614
86.2333,359.133,46.1824,85.7943
117.267,353.733,55.4842,86.4701
116.367,326.9,55.5022,83.4178
121.4,419.533,55.3023,89.7997
176.8,490.167,66.3672,90.623
147.5,490.333,62.9319,90.6191
198.167,454.033,68.4786,90.5882
216.833,520.733,73.8528,91.182
216.833,517.333,73.8606,91.7668
183.667,484.767,68.8433,91.5147
284.267,487.1,81.507,91.1344
183.7,523.2,68.8373,90.741
217.3,592.7,73.8275,89.0012
284.667,556.3,81.4774,90.424
280.633,526.2,81.8215,90.2121
280.267,593.133,81.8596,88.9119
184.5,594.033,68.791,88.7113
255.1,627.833,77.6661,87.3038
284.367,626.567,81.503,87.6046
151.567,590.233,62.8143,89.5219
218.633,556.9,73.7656,90.3165
285.5,590.233,81.4015,89.5175
220.367,590.067,73.6116,89.551
223.4,657.133,73.4783,86.5246
310.233,620.467,80.128,88.9514
317.567,559.8,84.4246,89.7527
284.367,590.333,81.4947,89.5008
284.533,628.067,81.4838,87.2651
