Sarsa,QLearning,Sarsa Error Bar,QLearning Error Bar
9.6,9.76667,0.183203,0.218055
9.7,10.0333,0.198558,0.255889
9.76667,10.7,0.218055,0.599137
10,11.1333,0.271225,1.05016
9.9,12.9667,0.250746,2.72767
10.8667,10.4667,0.495342,0.376717
15.2333,16.5,3.84399,4.60952
16.6333,14.1,3.91651,3.84509
10.1,86.0667,0.293022,46.2028
14.2,58.3333,3.63014,33.5355
13.5667,61.0667,3.30992,33.8634
13.6333,144.167,2.99443,63.1384
17.4333,238.133,4.9974,74.3976
14,299.7,3.38013,79.3356
24.7,350.6,6.54694,86.8361
47.5333,294.467,33.4225,81.4346
17.8,318.867,5.35529,84.3393
55.4,194.9,33.5206,69.1182
59.1333,347.633,33.5795,87.1755
173.1,443.867,64.9323,92.0948
88.0333,410.767,46.1586,91.0074
102.8,343.933,47.6608,87.5908
213.733,348,74.1004,87.1492
84.6667,647,46.2915,88.8858
118.4,447.1,55.5218,91.619
118.367,622.2,55.5005,89.1299
185.2,744.133,68.7584,82.1792
211.167,544.033,74.2634,92.7007
185.233,777.8,68.78,78.4959
310.7,510.533,85.1332,92.9344
147.733,710.733,62.9883,85.172
325,710.833,84.6028,85.1438
259.667,677.4,78.5279,87.6077
314.4,710.767,84.7548,85.1625
277.033,677.5,82.1888,87.5815
277.533,777.533,82.1333,78.5852
256.3,910.933,77.6221,55.7458
418.267,677.467,90.0215,87.5902
418.567,810.933,89.9933,74.303
377.467,910.867,89.5143,55.7829
380.467,944.3,89.1589,46.3437
457.4,944.467,90.8622,46.2281
444.367,977.7,92.0136,33.3
491.233,977.7,91.2431,33.3
458.567,977.633,90.7843,33.3667
510.933,877.733,92.8603,63.0928
548.2,911.033,91.9669,55.6901
677.533,977.633,87.5729,33.3667
577.5,944.333,92.0543,46.3206
744.267,977.667,82.1383,33.3333
677.4,1002.2,87.6077,8.8
710.833,1011,85.1438,0
744.033,944.467,82.21,46.2279
777.367,977.633,78.6413,33.3667
744.1,977.633,82.1894,33.3667
677.467,1011,87.5902,0
777.433,1009.47,78.6189,1.53333
644.3,1011,89.4941,0
777.633,1011,78.5518,0
844.333,1011,69.2048,0
877.633,1011,63.1401,0
910.9,1011,55.7643,0
910.867,1011,55.7829,0
877.533,1011,63.1874,0
777.5,1011,78.5965,0
877.5,1011,63.2032,0
844.267,1011,69.2323,0
877.567,1011,63.1716,0
944.267,1011,46.3669,0
977.667,1011,33.3333,0
977.633,1011,33.3667,0
977.7,977.7,33.3,33.3
977.667,1011,33.3333,0
977.7,1011,33.3,0
977.6,1011,33.4,0
977.733,1011,33.2667,0
944.333,1011,46.3206,0
944.267,977.7,46.3669,33.3
944.267,1011,46.3669,0
910.9,1011,55.7643,0
944.267,1011,46.3669,0
977.633,1011,33.3667,0
977.633,977.667,33.3667,33.3333
977.6,1011,33.4,0
944.367,1011,46.2974,0
944.267,1011,46.3669,0
944.267,1011,46.3669,0
944.267,1011,46.3669,0
944.267,1011,46.3669,0
977.633,1011,33.3667,0
977.633,1011,33.3667,0
977.633,1011,33.3667,0
977.633,1011,33.3667,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
977.633,1011,33.3667,0
977.667,1011,33.3333,0
1011,1011,0,0
1011,977.667,0,33.3333
977.7,977.633,33.3,33.3667
1011,1011,0,0
1011,1011,0,0
977.667,1011,33.3333,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,977.7,0,33.3
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
977.667,1011,33.3333,0
1011,977.633,0,33.3667
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
1011,1011,0,0
