Sarsa,QLearning,Sarsa Error Bar,QLearning Error Bar
-0.514489,-0.29214,0.0653748,0.0564303
-0.483072,-0.315046,0.0651289,0.046117
-0.568464,-0.276543,0.0794082,0.0491964
-0.460027,-0.253011,0.0632364,0.0500965
-0.478482,-0.221166,0.0647294,0.0627992
-0.356871,-0.0562552,0.0602443,0.0385894
-0.348272,-0.0571722,0.0622387,0.0472311
-0.335543,0.0336384,0.0634472,0.0422577
-0.230125,0.0811221,0.0592736,0.0307727
-0.0964211,0.0513939,0.0523897,0.0396186
-0.145757,0.160101,0.0592443,0.0354599
-0.0231178,0.156871,0.0509173,0.0293837
-0.0585403,0.146332,0.0563672,0.0415399
0.101753,0.115526,0.0435009,0.0383864
0.12194,0.161785,0.041123,0.0346697
0.107265,0.21728,0.0530074,0.032144
0.246163,0.14487,0.045181,0.0352883
0.259535,0.217731,0.0472308,0.0276292
0.387084,0.225627,0.042085,0.0303863
0.433608,0.158268,0.0476087,0.0376404
0.441889,0.242342,0.0489221,0.0309472
0.577806,0.200023,0.0488484,0.0347791
0.610996,0.250161,0.0514659,0.0281758
0.66779,0.204933,0.0448476,0.0367008
0.726038,0.237676,0.0489963,0.0320448
0.828906,0.239824,0.0501205,0.0264583
0.888405,0.243213,0.0464748,0.0321815
0.930027,0.250662,0.0472552,0.0346027
1.02658,0.255113,0.0479348,0.0346583
1.16021,0.24377,0.052934,0.0304041
1.28138,0.218833,0.0465216,0.0310239
1.24464,0.220645,0.0532444,0.030006
1.25171,0.227062,0.0570235,0.0306972
1.33745,0.255105,0.0547394,0.0317198
1.36027,0.239099,0.0535737,0.0302029
1.49222,0.264044,0.047367,0.0293791
1.61465,0.225864,0.0462069,0.0355532
1.57013,0.251951,0.0537648,0.0284987
1.53252,0.273451,0.0554682,0.0294562
1.69682,0.230146,0.0479061,0.0368503
1.81031,0.264351,0.0491653,0.0338746
1.8712,0.250091,0.0509331,0.0312002
1.93585,0.241091,0.0508767,0.0305551
1.98032,0.251599,0.0473249,0.031246
1.98809,0.256389,0.0473918,0.0302586
1.96647,0.245898,0.0546924,0.0315176
2.16072,0.212495,0.0464849,0.0306469
2.12437,0.264445,0.0489641,0.0305779
2.26582,0.226006,0.0468866,0.0428537
2.18715,0.247156,0.0520505,0.0311496
2.23667,0.245777,0.0475193,0.033737
2.30388,0.188052,0.0567052,0.0563238
2.30512,0.227787,0.0508598,0.0289948
2.32406,0.270018,0.0445172,0.0344704
2.37073,0.244023,0.0461266,0.0361411
2.4665,0.259466,0.0453312,0.030425
2.3623,0.275672,0.0536735,0.0340445
2.43446,0.278011,0.0475748,0.0370677
2.41615,0.170117,0.0576591,0.060722
2.55114,0.196791,0.051401,0.0490203
2.61347,0.229114,0.0422529,0.0476092
2.62972,0.26538,0.0439627,0.0373085
2.57814,0.24281,0.047442,0.0377869
2.72434,0.23627,0.0474972,0.0441677
2.65278,0.242314,0.0492463,0.0451317
2.72251,0.262581,0.0490806,0.0379404
