Sarsa,QLearning,Sarsa Error Bar,QLearning Error Bar
-11804.8,-10956.4,1265.79,1065.81
-6181.03,-7075.7,826.855,858.279
-4012.2,-7179.2,530.643,835.854
-3054.13,-7520.7,313.665,967.611
-3023.67,-6553.7,374.808,908.097
-2357.63,-7650.23,287.929,1008.42
-2279.43,-4557.03,283.228,600.237
-1648.7,-5160.47,135.353,752.696
-1662.63,-3705.07,169.814,365.979
-1862.47,-4491.3,203.593,583.514
-1580.4,-5073.03,182.062,694.082
-1559.27,-3357.13,158.81,383.781
-1483,-4751.33,195.484,519.083
-1134.6,-5078.73,87.7289,766.53
-1311.2,-5180.6,104.146,708.619
-1261.5,-5722.27,125.043,709.989
-977.933,-5387.57,92.4653,682.801
-1026.63,-6114.47,85.486,890.064
-953.733,-4007.2,67.5667,436.069
-975.267,-6365.97,99.4109,943.663
-840.8,-6764.63,69.6722,1009.49
-904.733,-7249.2,108.578,948.975
-760.1,-8391.37,66.7034,1352.83
-766.633,-11876.9,67.7752,1444.53
-652.333,-13604.1,33.3389,1440.25
-826.967,-16100.7,64.6301,1267.85
-679.567,-19010.7,44.7941,696.517
-671.067,-20000,60.4965,0
-613.667,-20000,44.2965,0
-549.433,-20000,36.3193,0
-533.633,-20000,32.4506,0
-583.233,-20000,34.541,0
-590.667,-20000,47.8186,0
-540.867,-20000,43.3949,0
-483.767,-20000,31.43,0
-477.433,-20000,24.3416,0
-468.767,-20000,24.231,0
-490.667,-20000,34.4789,0
-521.633,-20000,34.5312,0
-478.733,-20000,27.3013,0
-461.1,-20000,29.4019,0
-459.933,-20000,24.9822,0
-454.167,-20000,25.6794,0
-410.233,-20000,20.9048,0
-399.5,-20000,15.7313,0
-414.433,-20000,25.1825,0
-396.367,-20000,24.9246,0
-345.433,-20000,14.9853,0
-351.3,-20000,16.3838,0
-347.3,-20000,15.9981,0
-373.233,-20000,20.2241,0
-341.7,-20000,18.5198,0
-367.6,-20000,18.9485,0
-335.333,-20000,15.8217,0
-350.7,-20000,21.6525,0
-312.2,-20000,19.7074,0
-313.3,-20000,18.9991,0
-333.867,-20000,17.8296,0
-335.833,-20000,21.2648,0
-305.233,-20000,9.05192,0
-337.033,-20000,22.2031,0
-283.1,-20000,11.7824,0
-275.267,-20000,12.4701,0
-298.567,-20000,13.8273,0
-281.433,-20000,12.9066,0
-298.333,-20000,13.4061,0
-288.533,-20000,13.0799,0
-280.267,-20000,14.4279,0
-282.833,-20000,13.908,0
-277.133,-20000,13.686,0
-265.767,-20000,12.8242,0
-256.8,-20000,12.5665,0
-275.5,-20000,14.118,0
-268.333,-20000,12.4166,0
-269.967,-20000,14.5387,0
-261.7,-20000,13.5957,0
-262.433,-20000,11.7431,0
-262.567,-20000,16.4083,0
-248.267,-20000,12.3051,0
-237.167,-20000,10.6847,0
-236.333,-20000,8.69606,0
-236.967,-20000,9.42343,0
-246.633,-20000,9.94496,0
-226.367,-20000,8.2073,0
-225.367,-20000,7.65769,0
-239.633,-20000,10.6616,0
-225.6,-20000,8.71115,0
-215.5,-20000,7.49601,0
-221.167,-20000,9.75741,0
-238.6,-20000,11.4237,0
-215.467,-20000,9.65077,0
-217.667,-20000,10.3381,0
-218.633,-20000,8.2577,0
-220.233,-20000,7.42142,0
-214.267,-20000,8.33535,0
-213.633,-20000,7.59393,0
-212.867,-20000,8.33959,0
-227.067,-20000,9.20107,0
-220.667,-20000,8.27576,0
-211.567,-20000,6.75051,0
-218.2,-20000,8.98343,0
-221.767,-20000,9.27606,0
-231.8,-20000,12.224,0
-211.033,-20000,6.69422,0
-208.867,-20000,9.32846,0
-218.8,-20000,9.32496,0
-220.567,-20000,8.73988,0
-218.367,-20000,10.2227,0
-206.033,-20000,8.02661,0
-207.733,-20000,8.10732,0
-203.833,-20000,8.4054,0
-204.8,-20000,7.70869,0
-213.867,-20000,9.44539,0
-212.167,-20000,9.56335,0
-208.5,-20000,8.84187,0
-203.433,-20000,8.48727,0
-207.667,-20000,10.8237,0
-216.8,-20000,10.2316,0
-204.867,-20000,9.0726,0
-195.333,-20000,8.2967,0
-194.467,-20000,7.43937,0
-203.033,-20000,8.67914,0
-214.7,-20000,8.50492,0
-201.233,-20000,7.31833,0
-217.367,-20000,10.6067,0
-209.967,-20000,10.5732,0
-210.267,-20000,7.48714,0
-202.033,-20000,10.1068,0
-216.533,-20000,10.394,0
-198.9,-20000,8.71257,0
-191.4,-20000,6.83981,0
-210.4,-20000,9.79967,0
-205.533,-20000,9.20254,0
-203.767,-20000,10.124,0
-206.667,-20000,8.09829,0
-198.467,-20000,11.4023,0
-204.833,-20000,7.28502,0
-177.5,-20000,7.5501,0
-195.167,-20000,7.51903,0
-183.5,-20000,8.17267,0
-203.433,-20000,8.07745,0
-187.367,-20000,8.86365,0
-196.133,-20000,8.6063,0
-184.033,-20000,5.78593,0
-185.4,-20000,7.5136,0
-180.8,-20000,8.22254,0
-176.333,-20000,6.97324,0
-179.933,-20000,6.59483,0
-193.2,-20000,10.1313,0
-191.767,-20000,8.89823,0
-189.3,-20000,6.71474,0
-189.267,-20000,8.18267,0
-191.833,-20000,9.47363,0
-195.233,-20000,11.2243,0
-193.833,-20000,9.28403,0
