Sarsa,QLearning,Sarsa Error Bar,QLearning Error Bar
-0.434072,-0.259937,0.0573915,0.0449431
-0.491002,-0.506601,0.06489,0.0671764
-0.382162,-0.578195,0.0562998,0.0691623
-0.584011,-0.568281,0.068946,0.0693634
-0.538523,-0.36779,0.0798344,0.0592913
-0.365139,-0.209655,0.0557075,0.0506552
-0.376342,-0.184735,0.0663694,0.0518863
-0.337535,-0.0664969,0.0572094,0.0498619
-0.288824,-0.000702225,0.0618549,0.0470377
-0.127928,-0.00783116,0.0514407,0.0475816
-0.0780646,0.0822442,0.0462348,0.0505288
0.00295577,0.113246,0.041459,0.0560725
-0.00741982,0.311445,0.0423142,0.0474383
0.0533394,0.222124,0.0506069,0.0539281
0.0775876,0.497293,0.0397213,0.0469496
0.0586767,0.575952,0.0452889,0.042225
0.0791112,0.612839,0.0452034,0.0458736
0.159307,0.686702,0.042989,0.0489753
0.17069,0.87824,0.0575349,0.0500527
0.26347,0.958085,0.0412431,0.0534815
0.368647,0.980032,0.0379664,0.0477074
0.332165,1.1904,0.0399329,0.0512283
0.337771,1.35525,0.0378705,0.0501583
0.386611,1.27473,0.0416553,0.0578485
0.439753,1.54287,0.0443079,0.0509608
0.522569,1.70396,0.0467553,0.0530782
0.637141,1.83713,0.0380327,0.0492276
0.583531,1.77677,0.043679,0.0561884
0.638343,1.97256,0.0453667,0.0530967
0.66161,2.04518,0.0427147,0.0502543
0.660239,2.2288,0.0533247,0.0492676
0.780694,2.20577,0.0492007,0.0538302
0.954078,2.46005,0.0417352,0.0463988
1.06906,2.38752,0.0431557,0.048444
0.953758,2.56402,0.0452132,0.0477136
1.01444,2.67182,0.0453657,0.0482447
1.03505,2.69917,0.0496905,0.0496472
1.15215,2.82588,0.044664,0.0472096
1.22659,2.84547,0.0463132,0.0446562
1.2638,2.97555,0.0490006,0.0455825
1.33326,3.032,0.0501243,0.0435894
1.36762,3.02725,0.0480013,0.0457367
1.44751,3.12153,0.0529113,0.044076
1.4868,3.21618,0.0520673,0.0422795
1.46695,3.22056,0.0509332,0.0424189
1.5894,3.16065,0.0523698,0.0461224
1.66098,3.27972,0.0533066,0.0402571
1.71059,3.24956,0.0506976,0.0437026
1.79656,3.32995,0.0481723,0.0410695
1.84957,3.308,0.0498985,0.0399585
1.87516,3.41909,0.0566375,0.0392716
1.93334,3.44279,0.0496099,0.0368578
1.95065,3.41929,0.0528883,0.0371544
1.97483,3.43818,0.0493386,0.0404229
1.98362,3.44626,0.0509253,0.0385767
2.22038,3.42192,0.0452634,0.0375763
2.21855,3.42782,0.0530693,0.0383807
2.25097,3.5222,0.049699,0.0361348
2.22458,3.46177,0.0508475,0.0398344
2.33398,3.45694,0.045874,0.0366605
2.32896,3.55502,0.0476288,0.0357161
2.33369,3.55541,0.0486805,0.035492
2.39601,3.47546,0.0478564,0.0370119
2.52803,3.45796,0.0474634,0.0382359
2.61182,3.5299,0.0462637,0.0370584
2.53691,3.51086,0.0451075,0.0355565
2.57673,3.49449,0.0463728,0.0377114
2.67022,3.5795,0.0441029,0.0364297
2.67038,3.50256,0.0444879,0.0360662
2.67698,3.56381,0.0460788,0.0361975
2.69999,3.52299,0.0446728,0.0369952
2.72636,3.51434,0.0430121,0.0379567
2.80797,3.523,0.0418956,0.0413688
2.82645,3.56787,0.0435773,0.0360245
2.73615,3.59151,0.0476369,0.0351219
2.85733,3.51955,0.0412952,0.0491394
2.8599,3.55618,0.0433127,0.0376871
2.81341,3.53975,0.0437727,0.0468908
2.8522,3.62755,0.0438155,0.0346881
2.91082,3.6175,0.0439284,0.0350232
2.93091,3.5909,0.0430136,0.0383445
2.97467,3.51796,0.0405836,0.0341419
2.93421,3.57481,0.0460602,0.0379561
3.04456,3.5872,0.0411019,0.0347788
2.99198,3.56091,0.0401444,0.0353097
3.05585,3.54919,0.0429485,0.0357563
3.0438,3.56651,0.0449535,0.0358194
3.05136,3.55064,0.0441536,0.0361107
3.0871,3.51305,0.0390397,0.0351081
3.09309,3.54327,0.0406897,0.0379043
3.07772,3.53957,0.0424612,0.03577
3.09604,3.56943,0.0401309,0.0382482
3.08878,3.5555,0.0404822,0.0344173
3.13307,3.59286,0.0472439,0.0347478
3.11496,3.51895,0.0460853,0.0379319
3.14815,3.5969,0.0412061,0.0338822
3.1597,3.5343,0.0394762,0.0355708
3.18847,3.60678,0.0403258,0.0353373
3.18864,3.60346,0.0423775,0.0351832
3.24291,3.54733,0.0382247,0.0347931
3.23387,3.55982,0.0395479,0.033788
3.25294,3.50989,0.0382503,0.0360037
3.2377,3.53686,0.0391725,0.0356826
3.2487,3.60914,0.0390688,0.0347181
3.27876,3.52136,0.0407502,0.0362557
3.29059,3.57389,0.037526,0.0339856
3.31782,3.64803,0.0397321,0.0335097
3.24495,3.63693,0.0364382,0.0334597
3.31468,3.63186,0.039337,0.0334221
3.31279,3.6398,0.0374459,0.0340542
3.38552,3.56454,0.037127,0.0338604
3.39993,3.57636,0.0345767,0.0346023
3.36757,3.58702,0.0361229,0.035003
3.40938,3.61866,0.0346429,0.0334076
3.39742,3.57803,0.0355802,0.0349859
3.37311,3.64368,0.0370488,0.0317634
3.41196,3.55919,0.0349011,0.038596
3.3818,3.53084,0.0353047,0.0357363
3.41935,3.61164,0.0355233,0.0330071
3.40554,3.62019,0.036273,0.034077
3.4206,3.59967,0.0361123,0.0325095
3.44431,3.62006,0.0331492,0.0339136
3.48056,3.64651,0.0377444,0.0339028
3.39844,3.55858,0.0343707,0.0343686
3.46687,3.61321,0.0338798,0.0331354
3.40494,3.57518,0.0354,0.0345623
3.49254,3.57933,0.0334361,0.0360048
3.49268,3.63277,0.0341728,0.0326761
3.49134,3.6141,0.0348259,0.0331867
3.44445,3.58572,0.0388447,0.0335481
3.44347,3.59606,0.0345785,0.0333089
3.46352,3.58858,0.0362552,0.0334209
3.50861,3.61701,0.0325357,0.0333196
3.46482,3.59282,0.0339207,0.0344532
3.48382,3.62454,0.0344063,0.0326271
3.44998,3.6261,0.0391628,0.0346922
3.464,3.59804,0.0368625,0.0323672
3.44799,3.62641,0.0363263,0.0335203
3.49234,3.64459,0.0362516,0.0319152
3.50105,3.57286,0.0351928,0.033495
3.48353,3.63563,0.0337047,0.0350721
3.50122,3.62318,0.0332807,0.0336075
3.54876,3.6234,0.0310781,0.0335097
3.53924,3.62459,0.0339604,0.0344063
3.52114,3.61275,0.0341675,0.032597
3.50999,3.63595,0.039063,0.0348885
3.53634,3.62868,0.0342152,0.0331377
3.52785,3.5993,0.0362414,0.0327233
3.49944,3.59677,0.0395567,0.0338689
3.53511,3.6226,0.03622,0.0356743
3.56239,3.62868,0.0330425,0.0340779
3.52703,3.5889,0.0363414,0.0327593
3.58962,3.6196,0.0316624,0.0330324
3.52944,3.58746,0.0367169,0.0341778
3.51872,3.66609,0.034952,0.0314253
3.56786,3.60694,0.0328947,0.0337743
3.50737,3.61337,0.0374396,0.0364059
3.519,3.64435,0.0329484,0.0330322
3.56268,3.66017,0.0320352,0.0318661
3.55747,3.57787,0.0328519,0.0371891
3.56664,3.62479,0.0344195,0.0320456
3.51788,3.60107,0.0327744,0.0345241
3.54051,3.61525,0.0334789,0.0322185
3.54025,3.57811,0.0354731,0.0352059
3.57933,3.63086,0.0333235,0.0323535
3.5701,3.59912,0.0335796,0.0332304
3.56456,3.58435,0.0325671,0.0345948
3.53444,3.62454,0.0347428,0.033366
3.58687,3.59585,0.0350438,0.0325947
3.56457,3.61371,0.0326161,0.032082
3.58269,3.62408,0.0367705,0.0338817
3.52687,3.57386,0.0342826,0.0356919
3.57169,3.66078,0.0324918,0.0320943
3.57181,3.63151,0.0369354,0.0321324
3.54438,3.65559,0.0328797,0.0376126
3.575,3.63421,0.033262,0.0316025
3.55969,3.60184,0.0338129,0.0331633
3.56348,3.66215,0.0351148,0.032234
3.53343,3.59749,0.0381557,0.0327439
3.62134,3.63051,0.0311479,0.0327946
3.5905,3.64887,0.033077,0.0321789
3.59041,3.61283,0.0346759,0.0328718
3.59831,3.65658,0.0315714,0.0326242
3.54291,3.60595,0.0352058,0.0337465
3.62082,3.67582,0.0329979,0.0326166
3.58922,3.61353,0.0321588,0.0329555
3.55571,3.57235,0.0344158,0.0327581
3.5549,3.62003,0.0344948,0.0319636
3.55166,3.63357,0.0393866,0.0317762
3.56307,3.58138,0.0343516,0.0324339
3.56889,3.58102,0.0331289,0.0340803
3.56313,3.64366,0.0357557,0.0338355
3.62935,3.5807,0.032408,0.0354493
3.56353,3.59958,0.0339206,0.0337069
3.61078,3.62489,0.0320473,0.033031
3.53,3.63669,0.034348,0.0334919
3.60763,3.61551,0.0312565,0.0335602
3.63061,3.61997,0.0322595,0.0319297
3.56541,3.66684,0.0367319,0.0310828
3.53871,3.59914,0.0347587,0.0359348
3.61009,3.64877,0.0327873,0.0324465
3.56009,3.62577,0.0310645,0.0325045
3.5423,3.6776,0.037591,0.0317798
3.61165,3.61075,0.0317392,0.0348128
3.55236,3.636,0.0331248,0.0327536
3.56387,3.606,0.0325261,0.0314943
3.55052,3.59412,0.0341558,0.0342492
3.54322,3.61961,0.0324092,0.031327
