Sarsa,QLearning,Sarsa Error Bar,QLearning Error Bar
-19803.1,-19069.1,109.545,455.281
-8373.47,-9477.13,774.886,833.042
-4230.77,-3767.37,636.176,546.036
-2423.1,-2616.9,243.929,254.148
-2331,-2020,311.55,216.78
-1958.63,-1531.17,225.404,144.815
-1613.8,-1549.93,141.118,145.896
-1715.5,-1715.63,154.496,159.355
-1491.23,-1240.93,110.214,131.928
-1398.13,-1123.4,133.056,90.0631
-1340.2,-1112.53,90.0103,100.471
-1278.07,-988.233,104.121,70.434
-1128.9,-885.9,84.4355,80.548
-933.733,-848.867,65.4888,64.4722
-1000.37,-729.867,70.3473,48.1055
-943.867,-683.167,90.2713,55.6948
-754.567,-706.333,56.2752,51.4606
-825.333,-620.633,50.5482,49.0306
-768.467,-496.633,57.72,24.7506
-749,-540.467,80.4071,25.7633
-659.533,-538.867,33.2555,32.7089
-725.633,-530.033,60.1038,36.7297
-645.367,-497.933,37.0362,36.7868
-693.6,-477.933,46.9247,24.7151
-562.933,-464.2,37.4719,24.0385
-597.1,-485.433,44.0489,28.7144
-599.2,-451.5,32.1001,22.7831
-496.767,-396.967,31.6643,22.2265
-552.067,-423.4,48.1319,23.5372
-506.233,-417.967,27.8104,23.3155
-471.267,-358.5,34.4186,15.0868
-464.4,-385.967,27.0774,17.6143
-454.733,-382.633,29.5844,14.8203
-434.1,-379.8,25.9975,16.987
-456.6,-327.333,26.7228,14.6414
-426.233,-341.933,29.514,14.7301
-423.7,-349.9,27.374,17.4814
-385.033,-349.833,19.8455,15.6644
-385.967,-316.967,19.2447,12.9235
-368.6,-351.733,16.3638,17.1827
-376.333,-314.5,17.3111,15.414
-376.633,-317.133,18.3216,11.7615
-358.667,-321.1,21.6871,15.4938
-332.6,-308.1,13.6641,11.1059
-364.833,-318.167,19.0286,15.2912
-346.033,-286.133,24.8265,11.9197
-348.3,-274.933,23.429,8.28486
-327.667,-279.967,14.6309,8.87493
-352.6,-289.133,26.0657,10.7201
-330.833,-289.2,16.8282,11.3132
-297.1,-293.033,15.7245,9.54126
-316.4,-283.9,17.6678,12.6125
-309.267,-265.233,20.6375,11.2531
-303.3,-271.167,17.635,10.6845
-283.833,-260.1,13.8824,7.52106
-312.3,-246.467,15.2311,7.23159
-278.933,-255.133,11.8173,9.39476
-295.933,-251.667,13.6235,8.09645
-300.633,-265.533,13.8591,12.5648
-256.033,-249.633,9.26078,6.76918
-280.467,-253.833,16.0204,7.25149
-254.6,-242.6,9.10382,8.57108
-278.8,-253.733,13.378,12.3303
-256.5,-234.467,9.85781,7.48711
-263.167,-245.467,13.6456,8.37412
-278.9,-232.867,16.6297,4.94632
-236.8,-241.433,10.2589,8.81648
-252.267,-243.533,10.5651,8.62897
-250.233,-230.067,10.8316,8.80803
-238.967,-243.233,11.1632,8.05594
-230.4,-235.667,8.14489,6.73204
-252.1,-227.833,10.0457,7.04845
-228.3,-223.033,11.565,6.17661
-238.033,-230.767,13.3657,7.0314
-222.367,-222.267,9.33963,8.19601
-232.033,-221.167,11.3513,8.81458
-223.767,-217.667,10.8668,6.84732
-223.5,-185.6,10.9253,6.37787
-214.467,-207.967,8.14378,5.98052
-228.767,-198.6,9.08829,6.41543
-211.533,-221.267,10.3717,8.70816
-206.933,-217.133,7.32998,7.39038
-217.4,-210.1,9.46629,7.71748
-226.467,-209.167,10.7924,7.05367
-206.967,-221,11.1049,7.46855
-213.467,-208.567,10.0696,6.84453
-207.4,-191.2,12.3518,6.96517
-209.7,-198.933,8.45531,9.32133
-208.733,-194.333,9.48428,9.3305
-197.067,-205.9,8.64311,7.99358
-223.567,-203.733,10.6887,9.72164
-209.433,-197.2,11.1573,8.12975
-210.333,-188.267,10.3547,7.45823
-196.2,-184.3,8.38614,6.94728
-210.967,-192.2,9.40206,7.77136
-191.567,-186.6,8.25801,7.96308
-181.8,-172.9,6.49976,6.28103
-190.133,-170.3,10.7939,6.09695
-183.267,-185.067,9.6621,8.47863
-189.967,-172.367,7.98339,6.03905
-210.133,-172.967,14.2972,6.96914
-196.033,-177.833,7.98123,6.61765
-180.667,-169,8.63145,5.77788
-208.2,-172,8.86986,6.59467
-192.767,-165.1,8.51634,5.74603
-198.567,-164.567,8.55646,5.53997
-183.067,-167.533,8.79863,6.23703
-175.067,-168.533,10.9309,4.99741
-171,-172.433,5.83095,6.92118
-185.333,-168.6,8.35991,5.96553
-169.367,-172.733,6.03238,6.63064
-181.4,-162.3,9.16974,4.65627
-174.367,-155.667,7.03137,3.42484
-165.8,-158.367,5.89631,4.32275
-174.3,-163.867,7.71283,6.83496
-181.633,-171.567,9.78264,6.55019
-162.067,-156,5.02727,4.21082
-167.667,-165.433,8.63398,6.081
-165.567,-156.033,7.30606,3.94866
-163.9,-170.333,5.43644,7.06039
-165.667,-155.067,5.78133,3.60744
-166.4,-163.533,5.74568,5.4593
-162.567,-159.9,5.59262,4.277
-159.833,-157.767,4.8369,4.93863
-170,-154.633,7.06017,3.2432
-172.133,-155.7,8.04581,4.23156
-159.667,-154,4.91265,3.82671
-157.9,-160.7,4.23677,5.48879
-163.433,-156.7,6.91403,4.44536
-157.667,-157.167,4.30699,4.93593
-161.033,-148.133,5.70309,0.787449
-159.033,-156.833,5.20355,4.73507
-164.4,-156.733,5.98035,4.19577
-151.567,-153.9,2.04472,3.73992
-160.767,-153.4,5.7409,3.8859
-162.733,-159.2,5.38771,5.32299
-154.233,-150.833,3.86517,3.04642
-156.5,-151.3,4.68668,2.70935
-157.933,-150.6,5.17863,3.43297
-154.867,-148.833,5.33277,0.829185
-151.167,-150.5,3.75579,3.24223
-152.9,-156.1,3.80965,4.61789
-153.1,-156.033,4.32883,4.45862
-153.967,-156.1,4.30062,4.7579
-146,-149.767,0.722384,2.2635
-150.033,-152.067,2.86536,3.46408
-152,-146.867,4.50696,0.710728
-151.433,-153.633,3.53169,4.78947
-148.767,-149.367,3.22728,2.40759
-149.233,-154.233,3.23298,4.56717
-145.467,-147.367,0.481218,0.519689
-149.467,-150.4,2.96676,3.07029
-149.033,-152.5,3.50188,4.42115
-148.967,-145.1,3.24497,0.536806
-146.4,-148.4,0.735941,3.41585
-155.433,-160.4,5.2873,5.9913
-153.167,-151.3,4.90861,3.42477
-153.4,-150.9,4.62889,4.08117
-150.1,-147.2,3.73992,0.636802
-147.833,-148.6,2.59844,3.02769
-144.867,-149.933,0.554466,4.19275
-146.9,-145.8,3.05518,0.642195
-143.167,-148.467,0.538374,2.6595
-150.2,-147.167,4.11959,0.783572
-143.367,-145.133,0.719967,0.592546
-142.9,-148.367,0.570037,2.88973
-147.5,-149.8,3.31307,3.32749
-143.233,-153.233,0.517917,5.95282
