REINFORCE,BBO,TRS Error Bar,BBO Error Bar
-0.659738,-0.531355,0.0797355,0.0694881
-0.599135,-0.612199,0.0727187,0.0755582
-0.471513,-0.515101,0.0635252,0.0608797
-0.377483,-0.551102,0.0627846,0.0734642
-0.43009,-0.607174,0.0628445,0.0787232
-0.462246,-0.547331,0.061861,0.068984
-0.287058,-0.557117,0.0592451,0.0707203
-0.237908,-0.584249,0.0459534,0.0779411
-0.248839,-0.671659,0.054173,0.0735516
-0.193887,-0.582515,0.0475041,0.0704467
-0.178064,-0.508432,0.0541718,0.0703948
-0.174617,-0.563901,0.0505246,0.0709999
-0.0730275,-0.538545,0.0336204,0.0727488
-0.0854006,-0.486104,0.0461408,0.0706684
-0.0661843,-0.703415,0.0345462,0.0927537
0.0020988,-0.510962,0.0296345,0.073313
-0.055098,-0.457998,0.0480127,0.0761084
-0.00877544,-0.543762,0.0315859,0.0680592
0.000263732,-0.651611,0.0314239,0.0919035
0.0378065,-0.426139,0.0298179,0.0556943
0.0262485,-0.443789,0.0366774,0.0678921
-0.00175718,-0.453307,0.0337614,0.067631
0.0693663,-0.573228,0.0339043,0.0979651
0.0679768,-0.584106,0.0444685,0.0838088
0.0509812,-0.515107,0.0268519,0.0689888
0.119609,-0.469583,0.0285277,0.0741232
0.0773387,-0.423979,0.0292251,0.0646625
0.0329669,-0.482786,0.0402733,0.0770073
0.0230909,-0.529715,0.0408498,0.0822092
0.0861233,-0.508303,0.0352278,0.0839923
0.0951354,-0.32101,0.0245006,0.0571502
0.100189,-0.366315,0.0370995,0.0625559
0.167574,-0.335378,0.0249943,0.0585181
0.172506,-0.280235,0.0286248,0.0545033
0.113669,-0.320291,0.0381939,0.0551907
0.1661,-0.399751,0.0326006,0.0587163
0.185001,-0.336275,0.0336908,0.0633324
0.130512,-0.359365,0.0404521,0.0641723
0.16687,-0.291379,0.0270231,0.0546665
0.208812,-0.440128,0.0289949,0.0645942
0.212502,-0.31622,0.0327807,0.0727351
0.184321,-0.317538,0.0302609,0.063921
0.252307,-0.277641,0.0304884,0.0697703
0.178397,-0.327621,0.0281215,0.0615593
0.24364,-0.326725,0.0300719,0.0658842
0.207574,-0.358803,0.028571,0.0637427
0.217905,-0.277998,0.030993,0.0601213
0.189408,-0.401109,0.034551,0.0746722
0.241424,-0.313143,0.0331927,0.063747
